osm_id	name	bench	btst	bus	departures_board	description	highway	layer	level	local_ref	mvv:zone	name:bar	name:etymology:wikidata	name:official	network	network:guid	network:short	network:wikidata	network:wikipedia	note	official_name	old_name	operator	public_transport	public_transport:version	rail	railway	railway:position	railway:ref	ref	ref:IFOPT	ref_name	shelter	short_name	source	subway	train	tram	uic_name	uic_ref	wheelchair	wheelchair:description	wheelchair:tram	wikidata	wikipedia	geometry
34402188	Gräfelfing	NA	NA	NA	NA	Gräfelfing, Gleis 2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MGFL	2	de:09184:2590:21:21	NA	NA	NA	NA	NA	yes	NA	NA	8002339	NA	NA	NA	NA	NA	c(11.4254413, 48.119663)
34484152	Am Münchner Tor	NA	NA	NA	NA	Am Münchner Tor, Stop Tram 23 Richtung Schwabing Nord	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5883531, 48.1762202)
34506272	Gondrellplatz	NA	NA	NA	NA	Gondrellplatz, Stop Tram 18 Endhaltestelle/Richtung St. Emmeram	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	de:09162:1554:1:1	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.4901708, 48.1244666)
35201967	Fasangarten	NA	NA	NA	NA	Fasangarten	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Fasangarten	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MFG	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004146	NA	NA	NA	NA	NA	c(11.6057844, 48.0933162)
38215795	Hohenzollernplatz	NA	NA	NA	NA	Hohenzollernplatz, Stop Tram 12/27/N27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Richtung Nordbad	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5679888, 48.1611722)
47115767	Karlsfeld	NA	NA	NA	NA	Karlsfeld, Gleis 2, S2 Ri.Petershausen/Altomünster	NA	NA	NA	1	NA	NA	NA	NA	MVV	NA	NA	NA	NA	NA	München-Karlsfeld	NA	DB Netz AG	stop_position	NA	NA	stop	12.9	MKFS	2	NA	NA	NA	NA	NA	NA	yes	NA	München-Karlsfeld S-Bahn	8004150	yes	NA	NA	NA	NA	c(11.4596348, 48.21122)
47140421	Siemenswerke	NA	NA	NA	NA	Siemenswerke, Gleis 2, S7/S20 Ri.Wolfratshausen/Höllriegelskreuth	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München Siemenswerke	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MSW	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004137	NA	NA	NA	NA	NA	c(11.5326999, 48.0943091)
60013075	Isartor	NA	NA	NA	NA	Isartor, Gleis 2, S1/S2/S3/S4/S6/S7/S8 Ri. Hauptbahnhof/Pasing	NA	-3	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München Isartor	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MIT	2	NA	Isartor, München	NA	NA	NA	NA	yes	NA	NA	8004131	no	NA	NA	NA	NA	c(11.5832438, 48.1342129)
60013076	Rosenheimer Platz	NA	NA	NA	NA	Rosenheimer Platz, Gleis 2	NA	-3	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MRP	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004136	yes	NA	NA	NA	NA	c(11.5931428, 48.1292383)
60023416	Berg am Laim	NA	NA	NA	NA	Berg am Laim, Gleis 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Berg am Laim	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MBAL	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004142	yes	NA	NA	NA	NA	c(11.6335457, 48.1340189)
